"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
706,0000107540,-,-
707,0000108247,-,-
708,0000111125,-,-
709,0000100561,-,-
710,0000267321,100,-
711,0000283134,-,-
712,0000100575,-,-
713,0000100707,-,-
714,0000148824,200,-
715,0000107907,-,-
716,0000107902,-,-
717,0000108700,5400,-
718,0000100884,-,-
719,0000108350,-,-
720,0000108970,-,-
721,0000115414,1150,-
722,0000106934,-,-
723,0000107252,-,-
724,0000249535,-,-
725,0000108089,-,-
726,0000100545,425,-
727,0000350185,200,-
728,0000103489,-,-
729,0000281807,-,-
730,0000107677,-,-
731,0000107944,-,-
732,0000108454,-,-
733,0000108692,-,-
734,0000151184,-,-
735,0000108539,-,-
736,0000107808,-,-
737,0000108519,-,-
738,0000100649,-,-
739,0000210905,425,-
740,0000107031,-,-
741,0000107064,-,-
742,0000109266,-,-
743,0000108800,100,-
744,0000103501,6750,-
745,0000100872,-,-
746,0000163259,-,-
747,0000107496,-,-
748,0000100623,1800,-
749,0000100604,-,-
750,0000108841,-,-
751,0000328211,-,-
752,0000286324,-,-
753,0000360955,-,-
754,0000100863,-,-
755,0000108993,-,-
756,0000100694,-,-
757,0000100710,100,-
758,0000108367,-,-
759,0000115422,-,-
760,0000100567,-,-
761,0000108032,425,-
762,0000107861,-,-
763,0000287567,-,-
764,0000108530,-,-
765,0000108444,-,-
766,0000100591,-,-
767,0000151663,-,-
768,0000100876,-,-
769,0000115972,1150,-
770,0000108402,-,-
771,0000107867,-,-
772,0000103487,-,-
773,0000165913,-,-
774,0000103490,-,-
775,0000333757,-,-
776,0000107780,425,-
777,0000171533,-,-
778,0000452991,-,-
779,0000107043,-,-
780,0000149395,-,-
781,0000108331,1150,-
782,0000103528,-,-
783,0000220129,-,-
784,0000156120,-,-
785,0000326147,-,-
786,0000282899,-,-
787,0000115399,-,-
788,0000178073,-,-
789,0000319416,-,-
790,0000442525,200,-
791,0000100881,-,-
792,0000357902,-,-
793,0000107878,-,-
794,0000333585,-,-
795,0000115410,-,-
796,0000453002,-,-
797,0000180158,-,-
798,0000109192,-,-
799,0000100859,-,-
800,0000149169,-,-
801,0000355861,100,-
802,0000100637,-,-
803,0000108877,-,-
804,0000107724,-,-
805,0000108592,-,-
806,0000100678,6750,-
807,0000108654,-,-
808,0000100599,-,-
809,0000108876,-,-
810,0000108699,100,-
811,0000107777,-,-
812,0000107923,-,-
813,0000333555,-,-
814,0000249780,-,-
815,0000108810,-,-
816,0000107214,100,-
817,0000222913,-,-
818,0000107361,-,-
819,0000108726,-,-
820,0000100526,1800,-
821,0000348690,-,-
822,0000107640,-,-
823,0000107052,-,-
824,0000108453,-,-
825,0000100871,1150,-
826,0000108743,-,-
827,0000107695,-,-
828,0000109129,-,-
829,0000103552,-,-
830,0000357903,-,-
831,0000107238,-,-
832,0000445041,200,-
833,0000108011,-,-
834,0000100555,425,-
835,0000107274,-,-
836,0000107537,-,-
837,0000267733,-,-
838,0000108928,-,-
839,0000108416,-,-
840,0000330841,-,-
841,0000107369,-,-
842,0000107742,-,-
843,0000107368,425,-
844,0000108428,425,-
845,0000100566,1150,-
846,0000100663,-,-
847,0000108797,100,-
848,0000452976,-,-
849,0000108048,-,-
850,0000115401,-,-
851,0000108271,-,-
852,0000108001,-,-
853,0000107759,-,-
854,0000103532,-,-
855,0000107955,-,-
856,0000107813,-,-
857,0000108017,-,-
858,0000100620,-,-
859,0000107782,200,-
860,0000106965,-,-
861,0000107650,-,-
862,0000100543,-,-
863,0000100883,2500,-
864,0000100869,-,-
865,0000103555,-,-
866,0000459850,-,-
867,0000108175,-,-
868,0000107648,1800,-
869,0000213957,-,-
870,0000357884,-,-
871,0000194237,-,-
872,0000106906,-,-
873,0000151183,-,-
874,0000109094,-,-
875,0000279475,2500,-
876,0000211135,-,-
877,0000106555,-,-
878,0000161284,-,-
879,0000107145,-,-
880,0000103508,1150,-
881,0000107616,200,-
882,0000100601,-,-
883,0000326556,825,-
884,0000103549,200,-
885,0000108389,-,-
886,0000220177,-,-
887,0000328538,200,-
888,0000107456,1150,-
889,0000100715,-,-
890,0000107505,-,-
891,0000198690,-,-
892,0000100695,-,-
893,0000111142,-,-
894,0000107762,-,-
895,0000100549,10800,-
896,0000162786,200,-
897,0000338405,-,-
898,0000109044,-,-
899,0000221290,-,-
900,0000100882,-,-
901,0000303992,-,-
902,0000214284,-,-
903,0000455130,-,-
904,0000283778,1150,-
905,0000103539,-,-
906,0000108787,-,-
907,0000100553,-,-
908,0000282995,100,-
909,0000115952,200,-
910,0000100688,-,-
911,0000107671,-,-
912,0000103558,-,-
913,0000107888,-,-
914,0000107694,-,-
915,0000109001,425,-
916,0000100705,-,-
917,0000107653,-,-
918,0000108816,-,-
919,0000108081,-,-
920,0000107068,-,-
921,0000180580,1150,-
922,0000103499,-,-
923,0000106936,-,-
924,0000107573,-,-
925,0000108869,-,-
926,0000108924,100,-
927,0000108258,-,-
928,0000268979,1150,-
929,0000100697,-,-
930,0000109019,-,-
931,0000103541,-,-
932,0000107753,425,-
933,0000109067,-,-
934,0000163000,200,-
935,0000103510,5400,-
936,0000107721,-,-
937,0000100625,1800,-
938,0000108871,-,-
939,0000107559,-,-
940,0000100586,-,-
941,0000100610,-,-
942,0000107929,-,-
943,0000349891,-,-
944,0000100572,-,-
945,0000100698,-,-
946,0000107794,825,-
947,0000100680,-,-
948,0000108811,425,-
949,0000198565,-,-
950,0000270862,100,-
951,0000108565,200,-
952,0000108660,-,-
953,0000107726,-,-
954,0000107739,-,-
955,0000177661,425,-
956,0000108896,-,-
957,0000162313,-,-
958,0000233642,-,-
959,0000115964,-,-
960,0000107623,-,-
961,0000109156,-,-
962,0000107982,-,-
963,0000107217,-,-
964,0000106960,-,-
965,0000100592,-,-
966,0000107849,-,-
967,0000108723,-,-
968,0000115406,-,-
969,0000115981,-,-
970,0000137347,-,-
971,0000107574,200,-
972,0000347883,425,-
973,0000100659,-,-
974,0000155591,1800,-
975,0000100699,200,-
976,0000107407,-,-
977,0000109033,-,-
978,0000107893,-,-
979,0000107675,-,-
980,0000109284,-,-
981,0000108382,-,-
982,0000107373,825,-
983,0000285426,-,-
984,0000442624,-,-
985,0000107652,2500,-
986,0000107435,-,-
987,0000100855,200,-
988,0000116500,-,-
989,0000108060,425,-
990,0000162934,-,-
991,0000149131,-,-
992,0000288722,-,-
993,0000108319,-,-
994,0000107741,-,-
995,0000109255,-,-
996,0000294922,-,-
997,0000103529,-,-
998,0000108831,425,-
999,0000328053,825,-
1000,0000103544,-,-
1001,0000108222,-,-
1002,0000100594,-,-
1003,0000338423,-,-
1004,0000152307,-,-
1005,0000456267,100,-
1006,0000108667,-,-
1007,0000108459,-,-
1008,0000100627,-,-
1009,0000108231,825,-
1010,0000100668,-,-
1011,0000318848,-,-
1012,0000108213,-,-
1013,0000180533,-,-
1014,0000108563,-,-
1015,0000107424,-,-
1016,0000108065,-,-
1017,0000107374,-,-
1018,0000282891,-,-
1019,0000107041,-,-
1020,0000107795,1150,-
1021,0000287427,-,-
1022,0000108596,-,-
1023,0000107951,-,-
1024,0000100522,200,-
1025,0000109041,-,-
1026,0000107507,-,-
1027,0000108687,-,-
1028,0000107515,-,-
1029,0000100530,1150,-
1030,0000196441,-,-
