"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
683,0000296135,-,-,-,-
684,0000293462,-,-,-,-
685,0000104688,900,-,400,-
686,0000104689,-,-,-,-
687,0000318980,-,-,-,-
688,0000268355,-,-,-,-
689,0000249482,-,-,200,-
690,0000255889,-,-,-,-
691,0000105900,-,-,-,-
692,0000105901,-,-,-,-
693,0000105902,-,-,-,-
694,0000116270,-,-,-,-
695,0000105903,-,-,-,-
696,0000104850,-,-,-,-
697,0000171108,-,-,-,-
698,0000105904,-,-,-,-
699,0000104852,-,-,-,-
700,0000105905,450,-,400,-
701,0000112871,-,-,400,-
702,0000116273,-,-,100,-
703,0000104691,-,-,-,-
704,0000105906,-,-,-,-
705,0000104853,-,-,-,-
706,0000114817,-,-,-,-
707,0000104692,-,-,400,-
708,0000105907,-,-,-,-
709,0000113764,1800,-,400,-
710,0000115384,-,-,-,-
711,0000104693,-,-,-,-
712,0000105908,-,-,-,-
713,0000104855,-,-,-,-
714,0000113766,-,-,100,-
715,0000105909,-,-,-,-
716,0000115386,-,-,-,-
717,0000104694,-,-,-,-
718,0000112875,-,-,400,-
719,0000104856,-,-,-,-
720,0000112876,-,-,-,-
721,0000104858,-,-,-,-
722,0000104696,-,-,-,-
723,0000328950,-,-,-,-
724,0000104859,-,-,-,-
725,0000195625,-,-,-,-
726,0000104698,-,-,-,-
727,0000104699,-,-,-,-
728,0000293477,-,-,-,-
729,0000264965,-,-,200,-
730,0000264969,-,-,-,-
731,0000153132,450,-,400,-
732,0000114820,-,-,-,-
733,0000113930,-,-,-,-
734,0000105911,-,-,-,-
735,0000153134,-,-,-,-
736,0000304283,-,-,-,-
737,0000104861,-,-,-,-
738,0000114824,-,-,-,-
739,0000321375,-,-,-,-
740,0000114825,-,-,-,-
741,0000113772,6000,-,400,-
742,0000113934,-,-,-,-
743,0000115393,-,-,-,-
744,0000113773,-,-,-,-
745,0000114826,-,-,-,-
746,0000116284,-,-,-,-
747,0000105916,-,-,-,-
748,0000116285,-,-,-,-
749,0000105917,900,-,400,-
750,0000113774,-,-,-,-
751,0000114827,1800,-,400,-
752,0000115394,450,-,-,-
753,0000104864,900,-,400,-
754,0000224259,-,-,400,-
755,0000104865,-,-,-,-
756,0000220696,-,-,-,-
757,0000105919,-,-,-,-
758,0000104866,-,-,-,-
759,0000113938,-,-,-,-
760,0000292913,-,-,-,-
761,0000220697,-,-,-,-
762,0000104867,-,-,-,-
763,0000104868,-,-,-,-
764,0000116289,-,-,-,-
765,0000279064,-,-,-,-
766,0000104869,-,-,-,-
767,0000328961,-,-,-,-
768,0000283682,1800,-,400,-
769,0000345892,1800,-,400,-
770,0000292594,-,-,400,-
771,0000264976,900,-,200,-
772,0000264978,-,-,-,-
773,0000162210,-,-,-,-
774,0000153141,-,-,400,-
775,0000105921,-,-,-,-
776,0000105922,-,-,-,-
777,0000104870,-,-,-,-
778,0000105923,-,-,-,-
779,0000105924,-,-,-,-
780,0000112890,-,-,-,-
781,0000104871,-,-,-,-
782,0000113944,-,-,200,-
783,0000104872,-,-,-,-
784,0000105925,-,-,-,-
785,0000222809,-,-,-,-
786,0000113783,-,-,-,-
787,0000104873,-,-,-,-
788,0000105926,-,-,-,-
789,0000105927,-,-,-,-
790,0000104874,-,-,-,-
791,0000105928,-,-,-,-
792,0000116296,-,-,-,-
793,0000104875,-,-,100,-
794,0000459215,6000,-,400,-
795,0000112895,-,-,-,-
796,0000104876,-,-,-,-
797,0000114678,-,-,-,-
798,0000104878,-,-,-,-
799,0000114679,-,-,400,-
800,0000264980,-,-,-,-
801,0000104879,-,-,-,-
802,0000461892,-,-,-,-
803,0000266925,1800,-,400,-
804,0000328973,-,-,-,-
805,0000180041,-,-,-,-
806,0000105930,-,-,-,-
807,0000105931,-,-,-,-
808,0000114680,-,-,-,-
809,0000105932,-,-,-,-
810,0000113951,-,-,-,-
811,0000234237,-,-,200,-
812,0000105933,-,-,-,-
813,0000114843,-,-,-,-
814,0000171138,-,-,-,-
815,0000113790,-,-,-,-
816,0000113791,-,-,-,-
817,0000114682,-,-,-,-
818,0000114844,-,-,-,-
819,0000104881,-,-,-,-
820,0000105934,3600,-,400,-
821,0000114683,-,-,-,-
